Conversation Streetblock,Resident Name, Date, Time,Destination,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name
,,,,Rental Condo,23st6-7,3,7ave22-23,3,7ave21-22,3,7ave20-21,3,20st7-8,3,20st8-9,3,20st9-10,3,20st10-12,3,20st12-13,3,20st13-LincolnCt,3,20stLincolnCt-16,3,20st16-17,3,20st17-18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19st3-4,Jerry,8/17/15,5:00 PM,bus stop,19st3-4,3,19st2-3,3,2ave19-20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Work,4ave19-20,3,4ave20-21,3,4ave21-22,3,4ave22-23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,River,2ave18-19,3,18st1-2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ave26-27,Charles,9/14/15,2:30 PM,bus stop,7ave26-27,3,26st6-7,3,26st5.5-6,3,26st5-5.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Convenience store,7ave26-27,3,7ave25-26,3,7ave25-25,3,7ave24-25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41st18-20,Dave,10/5/15,3:00 PM,Lincoln Park,41st18-20,3,41st15-18,3,41st14-15,3,41st13-14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Poor Boy's,18ave41-42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jewel,20ave41-42,3,20ave42-43,3,20ave43-44,3,20ave44-45,3,20ave45-46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Church,18ave40-41,3,18ave39-40,3,18ave38-39,3,38st16-18,3,38st15-16,3,15ave37-38,3,15ave36-37,3,38st15-15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
